srcIp,dstIp,srcPort,dstPort,protocol
10.62.16.99,10.10.240.101,22,59464,['tcp']
10.62.16.96,10.10.240.103,45150,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45152,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45384,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42432,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42434,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42436,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42438,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45148,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45380,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45382,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45386,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45388,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45390,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51528,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51516,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51518,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51520,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51524,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,51526,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42442,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42440,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45142,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45144,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45146,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45756,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45760,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45758,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45750,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45752,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45754,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42946,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42948,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42952,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42950,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42956,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,42954,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33294,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33296,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33300,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33302,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33298,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,33304,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45980,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43224,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43226,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43228,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43230,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43232,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45972,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45974,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45976,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45978,443,"['tcp', 'tls']"
10.62.16.96,10.10.240.103,45982,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,43234,443,"['tcp', 'tls']"
